1,780,511
2,819,377
3,869,267
4,928,181
5,994,125
6,1068,103
7,1149,115
8,1228,153
9,1312,227
10,1393,329
11,1466,451
12,1538,603
13,1598,769
14,1647,945
15,1689,1133
16,1720,1329
17,1733,1515
18,1735,1697
19,1721,1867
20,1698,2023
21,1650,2145
22,1597,2251
23,1538,2333
24,1469,2383
25,1390,2401
26,1310,2387
27,1223,2339
28,1144,2269
29,1065,2167
30,991,2041
31,924,1893
32,865,1725
33,813,1543
34,777,1357
35,750,1163
36,742,977
37,743,795
38,764,629
39,789,473
40,831,345
41,884,241
42,942,161
43,1013,115
44,1086,99
45,1170,123
46,1252,171
47,1339,255
48,1412,357
49,1486,491
50,1551,643
51,1615,817
52,1662,997
53,1702,1189
54,1725,1379
55,1734,1565
56,1731,1743
57,1714,1909
58,1678,2049
59,1639,2179
60,1586,2281
61,1522,2351
62,1449,2391
63,1371,2403
64,1276,2367
65,1203,2325
66,1124,2247
67,1046,2137
68,973,2005
69,907,1851
70,852,1681
71,803,1495
72,771,1309
73,752,1121
74,744,931
75,750,753
76,769,587
77,799,439
78,846,319
79,899,219
80,965,153
81,1035,113
82,1113,111
83,1184,125
84,1274,193
85,1356,281
86,1433,395
87,1506,533
88,1574,693
89,1632,869
90,1676,1051
91,1712,1243
92,1731,1433
93,1735,1613
94,1726,1787
95,1709,1951
96,1673,2091
97,1629,2213
98,1571,2305
99,1505,2369
100,1426,2397
101,1350,2401
102,1264,2369
103,1185,2313
104,1105,2223
105,1028,2109
106,956,1969
107,894,1811
108,841,1637
109,795,1449
110,766,1261
111,750,1073
112,747,889
113,755,709
114,779,551
115,812,407
116,858,289
117,916,199
118,984,143
119,1055,111
120,1134,115
121,1211,145
122,1297,215
123,1377,309
124,1457,433
125,1528,577
126,1590,739
127,1644,917
128,1686,1103
129,1716,1293
130,1732,1481
131,1737,1665
132,1727,1837
133,1702,1993
134,1663,2125
135,1615,2241
136,1556,2327
137,1486,2381
138,1409,2405
139,1331,2401
140,1247,2361
141,1165,2293
142,1085,2197
143,1008,2075
144,936,1927
145,876,1765
146,827,1589
147,789,1405
148,762,1213
149,749,1025
150,749,841
151,761,669
152,786,511
153,825,375
154,877,269
155,934,183
156,1005,133
157,1079,111
158,1158,125
159,1234,161
160,1321,239
161,1404,345
162,1483,477
163,1542,615
164,1607,787
165,1656,965
166,1696,1151
167,1723,1343
168,1738,1535
169,1737,1711
170,1725,1883
171,1691,2027
172,1655,2163
173,1599,2265
174,1537,2343
175,1468,2391
176,1394,2411
177,1311,2393
178,1225,2345
179,1142,2269
180,1065,2167
181,990,2039
182,923,1887
183,866,1723
184,818,1541
185,782,1355
186,758,1163
187,746,973
188,750,793
189,765,623
190,798,475
191,841,349
192,892,243
193,953,167
194,1025,125
195,1098,111
196,1177,129
197,1265,187
198,1345,267
199,1423,375
200,1498,509
201,1565,665
202,1622,835
203,1669,1015
204,1710,1209
205,1731,1397
206,1743,1587
207,1735,1759
208,1717,1925
209,1683,2067
210,1641,2195
211,1586,2293
212,1523,2363
213,1450,2403
214,1370,2409
215,1283,2381
216,1204,2331
217,1122,2247
218,1045,2137
219,972,2003
220,910,1851
221,854,1679
222,805,1493
223,773,1305
224,754,1113
225,748,929
226,760,755
227,779,591
228,807,439
229,852,317
230,908,223
231,971,155
232,1043,119
233,1120,115
234,1206,149
235,1286,205
236,1367,295
237,1443,411
238,1515,549
239,1580,709
240,1643,893
241,1682,1069
242,1717,1261
243,1736,1451
244,1738,1631
245,1734,1809
246,1713,1969
247,1676,2107
248,1630,2227
249,1572,2317
250,1505,2379
251,1434,2413
252,1350,2409
253,1266,2377
254,1183,2315
255,1104,2225
256,1028,2109
257,958,1971
258,894,1809
259,840,1633
260,797,1447
261,769,1259
262,753,1069
263,750,885
264,760,709
265,784,549
266,820,409
267,866,291
268,925,205
269,992,145
270,1073,127
271,1143,123
272,1224,159
273,1306,225
274,1386,323
275,1463,445
276,1536,593
277,1597,755
278,1653,935
279,1695,1121
280,1722,1309
281,1738,1497
282,1740,1679
283,1728,1849
284,1696,1997
285,1667,2141
286,1616,2251
287,1554,2333
288,1488,2391
289,1410,2411
290,1330,2403
291,1247,2363
292,1164,2293
293,1084,2193
294,1008,2071
295,943,1929
296,878,1759
297,829,1583
298,791,1397
299,763,1205
300,752,1017
301,752,835
302,764,661
303,791,505
304,831,373
305,882,265
306,943,185
307,1011,133
308,1085,113
309,1164,125
310,1245,171
