Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: us, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
1,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
2,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
3,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
4,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
5,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
6,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
7,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
8,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
9,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
10,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
11,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
12,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
13,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
