time unit: ns, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
305500,1038,0,1,0,0,0,0,0,0,1,1,1,0,1371,0,1,0,1,0,1,0,1,1,0,1,1,993,0,0,1,1,1,1,1,0,0,0,0,1,1320,0,1,0,1,0,0,1,0,1,0,0,0
306000,1088,0,1,0,0,0,1,0,0,0,0,0,0,1419,0,1,0,1,1,0,0,0,1,0,1,1,1038,0,1,0,0,0,0,0,0,1,1,1,0,1371,0,1,0,1,0,1,0,1,1,0,1,1
306500,1141,0,1,0,0,0,1,1,1,0,1,0,1,1463,0,1,0,1,1,0,1,1,0,1,1,1,1088,0,1,0,0,0,1,0,0,0,0,0,0,1419,0,1,0,1,1,0,0,0,1,0,1,1
307000,1196,0,1,0,0,1,0,1,0,1,1,0,0,1500,0,1,0,1,1,1,0,1,1,1,0,0,1141,0,1,0,0,0,1,1,1,0,1,0,1,1463,0,1,0,1,1,0,1,1,0,1,1,1
307500,1253,0,1,0,0,1,1,1,0,0,1,0,1,1531,0,1,0,1,1,1,1,1,1,0,1,1,1196,0,1,0,0,1,0,1,0,1,1,0,0,1500,0,1,0,1,1,1,0,1,1,1,0,0
308000,1310,0,1,0,1,0,0,0,1,1,1,1,0,1552,0,1,1,0,0,0,0,1,0,0,0,0,1253,0,1,0,0,1,1,1,0,0,1,0,1,1531,0,1,0,1,1,1,1,1,1,0,1,1
308500,1364,0,1,0,1,0,1,0,1,0,1,0,0,1565,0,1,1,0,0,0,0,1,1,1,0,1,1310,0,1,0,1,0,0,0,1,1,1,1,0,1552,0,1,1,0,0,0,0,1,0,0,0,0
309000,1415,0,1,0,1,1,0,0,0,0,1,1,1,1569,0,1,1,0,0,0,1,0,0,0,0,1,1364,0,1,0,1,0,1,0,1,0,1,0,0,1565,0,1,1,0,0,0,0,1,1,1,0,1
309500,1463,0,1,0,1,1,0,1,1,0,1,1,1,1564,0,1,1,0,0,0,0,1,1,1,0,0,1415,0,1,0,1,1,0,0,0,0,1,1,1,1569,0,1,1,0,0,0,1,0,0,0,0,1
310000,1504,0,1,0,1,1,1,1,0,0,0,0,0,1551,0,1,1,0,0,0,0,0,1,1,1,1,1463,0,1,0,1,1,0,1,1,0,1,1,1,1564,0,1,1,0,0,0,0,1,1,1,0,0
310500,1538,0,1,1,0,0,0,0,0,0,0,1,0,1530,0,1,0,1,1,1,1,1,1,0,1,0,1504,0,1,0,1,1,1,1,0,0,0,0,0,1551,0,1,1,0,0,0,0,0,1,1,1,1
311000,1563,0,1,1,0,0,0,0,1,1,0,1,1,1499,0,1,0,1,1,1,0,1,1,0,1,1,1538,0,1,1,0,0,0,0,0,0,0,1,0,1530,0,1,0,1,1,1,1,1,1,0,1,0
311500,1581,0,1,1,0,0,0,1,0,1,1,0,1,1462,0,1,0,1,1,0,1,1,0,1,1,0,1563,0,1,1,0,0,0,0,1,1,0,1,1,1499,0,1,0,1,1,1,0,1,1,0,1,1
312000,1592,0,1,1,0,0,0,1,1,1,0,0,0,1421,0,1,0,1,1,0,0,0,1,1,0,1,1581,0,1,1,0,0,0,1,0,1,1,0,1,1462,0,1,0,1,1,0,1,1,0,1,1,0
312500,1592,0,1,1,0,0,0,1,1,1,0,0,0,1372,0,1,0,1,0,1,0,1,1,1,0,0,1592,0,1,1,0,0,0,1,1,1,0,0,0,1421,0,1,0,1,1,0,0,0,1,1,0,1
313000,1584,0,1,1,0,0,0,1,1,0,0,0,0,1319,0,1,0,1,0,0,1,0,0,1,1,1,1592,0,1,1,0,0,0,1,1,1,0,0,0,1372,0,1,0,1,0,1,0,1,1,1,0,0
313500,1567,0,1,1,0,0,0,0,1,1,1,1,1,1263,0,1,0,0,1,1,1,0,1,1,1,1,1584,0,1,1,0,0,0,1,1,0,0,0,0,1319,0,1,0,1,0,0,1,0,0,1,1,1
314000,1543,0,1,1,0,0,0,0,0,0,1,1,1,1207,0,1,0,0,1,0,1,1,0,1,1,1,1567,0,1,1,0,0,0,0,1,1,1,1,1,1263,0,1,0,0,1,1,1,0,1,1,1,1
314500,1511,0,1,0,1,1,1,1,0,0,1,1,1,1151,0,1,0,0,0,1,1,1,1,1,1,1,1543,0,1,1,0,0,0,0,0,0,1,1,1,1207,0,1,0,0,1,0,1,1,0,1,1,1
315000,1470,0,1,0,1,1,0,1,1,1,1,1,0,1097,0,1,0,0,0,1,0,0,1,0,0,1,1511,0,1,0,1,1,1,1,0,0,1,1,1,1151,0,1,0,0,0,1,1,1,1,1,1,1
315500,1421,0,1,0,1,1,0,0,0,1,1,0,1,1046,0,1,0,0,0,0,0,1,0,1,1,0,1470,0,1,0,1,1,0,1,1,1,1,1,0,1097,0,1,0,0,0,1,0,0,1,0,0,1
316000,1370,0,1,0,1,0,1,0,1,1,0,1,0,998,0,0,1,1,1,1,1,0,0,1,1,0,1421,0,1,0,1,1,0,0,0,1,1,0,1,1046,0,1,0,0,0,0,0,1,0,1,1,0
316500,1316,0,1,0,1,0,0,1,0,0,1,0,0,955,0,0,1,1,1,0,1,1,1,0,1,1,1370,0,1,0,1,0,1,0,1,1,0,1,0,998,0,0,1,1,1,1,1,0,0,1,1,0
317000,1260,0,1,0,0,1,1,1,0,1,1,0,0,920,0,0,1,1,1,0,0,1,1,0,0,0,1316,0,1,0,1,0,0,1,0,0,1,0,0,955,0,0,1,1,1,0,1,1,1,0,1,1
317500,1203,0,1,0,0,1,0,1,1,0,0,1,1,890,0,0,1,1,0,1,1,1,1,0,1,0,1260,0,1,0,0,1,1,1,0,1,1,0,0,920,0,0,1,1,1,0,0,1,1,0,0,0
318000,1145,0,1,0,0,0,1,1,1,1,0,0,1,868,0,0,1,1,0,1,1,0,0,1,0,0,1203,0,1,0,0,1,0,1,1,0,0,1,1,890,0,0,1,1,0,1,1,1,1,0,1,0
318500,1091,0,1,0,0,0,1,0,0,0,0,1,1,857,0,0,1,1,0,1,0,1,1,0,0,1,1145,0,1,0,0,0,1,1,1,1,0,0,1,868,0,0,1,1,0,1,1,0,0,1,0,0
319000,1042,0,1,0,0,0,0,0,1,0,0,1,0,854,0,0,1,1,0,1,0,1,0,1,1,0,1091,0,1,0,0,0,1,0,0,0,0,1,1,857,0,0,1,1,0,1,0,1,1,0,0,1
319500,996,0,0,1,1,1,1,1,0,0,1,0,0,859,0,0,1,1,0,1,0,1,1,0,1,1,1042,0,1,0,0,0,0,0,1,0,0,1,0,854,0,0,1,1,0,1,0,1,0,1,1,0
320000,957,0,0,1,1,1,0,1,1,1,1,0,1,870,0,0,1,1,0,1,1,0,0,1,1,0,996,0,0,1,1,1,1,1,0,0,1,0,0,859,0,0,1,1,0,1,0,1,1,0,1,1
320500,923,0,0,1,1,1,0,0,1,1,0,1,1,891,0,0,1,1,0,1,1,1,1,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1,870,0,0,1,1,0,1,1,0,0,1,1,0
321000,899,0,0,1,1,1,0,0,0,0,0,1,1,920,0,0,1,1,1,0,0,1,1,0,0,0,923,0,0,1,1,1,0,0,1,1,0,1,1,891,0,0,1,1,0,1,1,1,1,0,1,1
321500,882,0,0,1,1,0,1,1,1,0,0,1,0,955,0,0,1,1,1,0,1,1,1,0,1,1,899,0,0,1,1,1,0,0,0,0,0,1,1,920,0,0,1,1,1,0,0,1,1,0,0,0
322000,873,0,0,1,1,0,1,1,0,1,0,0,1,997,0,0,1,1,1,1,1,0,0,1,0,1,882,0,0,1,1,0,1,1,1,0,0,1,0,955,0,0,1,1,1,0,1,1,1,0,1,1
322500,873,0,0,1,1,0,1,1,0,1,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1,873,0,0,1,1,0,1,1,0,1,0,0,1,997,0,0,1,1,1,1,1,0,0,1,0,1
323000,881,0,0,1,1,0,1,1,1,0,0,0,1,1097,0,1,0,0,0,1,0,0,1,0,0,1,873,0,0,1,1,0,1,1,0,1,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1
323500,896,0,0,1,1,1,0,0,0,0,0,0,0,1151,0,1,0,0,0,1,1,1,1,1,1,1,881,0,0,1,1,0,1,1,1,0,0,0,1,1097,0,1,0,0,0,1,0,0,1,0,0,1
324000,921,0,0,1,1,1,0,0,1,1,0,0,1,1206,0,1,0,0,1,0,1,1,0,1,1,0,896,0,0,1,1,1,0,0,0,0,0,0,0,1151,0,1,0,0,0,1,1,1,1,1,1,1
324500,954,0,0,1,1,1,0,1,1,1,0,1,0,1263,0,1,0,0,1,1,1,0,1,1,1,1,921,0,0,1,1,1,0,0,1,1,0,0,1,1206,0,1,0,0,1,0,1,1,0,1,1,0
325000,992,0,0,1,1,1,1,1,0,0,0,0,0,1319,0,1,0,1,0,0,1,0,0,1,1,1,954,0,0,1,1,1,0,1,1,1,0,1,0,1263,0,1,0,0,1,1,1,0,1,1,1,1
325500,1037,0,1,0,0,0,0,0,0,1,1,0,1,1370,0,1,0,1,0,1,0,1,1,0,1,0,992,0,0,1,1,1,1,1,0,0,0,0,0,1319,0,1,0,1,0,0,1,0,0,1,1,1
326000,1087,0,1,0,0,0,0,1,1,1,1,1,1,1419,0,1,0,1,1,0,0,0,1,0,1,1,1037,0,1,0,0,0,0,0,0,1,1,0,1,1370,0,1,0,1,0,1,0,1,1,0,1,0
326500,1140,0,1,0,0,0,1,1,1,0,1,0,0,1462,0,1,0,1,1,0,1,1,0,1,1,0,1087,0,1,0,0,0,0,1,1,1,1,1,1,1419,0,1,0,1,1,0,0,0,1,0,1,1
327000,1196,0,1,0,0,1,0,1,0,1,1,0,0,1499,0,1,0,1,1,1,0,1,1,0,1,1,1140,0,1,0,0,0,1,1,1,0,1,0,0,1462,0,1,0,1,1,0,1,1,0,1,1,0
327500,1253,0,1,0,0,1,1,1,0,0,1,0,1,1532,0,1,0,1,1,1,1,1,1,1,0,0,1196,0,1,0,0,1,0,1,0,1,1,0,0,1499,0,1,0,1,1,1,0,1,1,0,1,1
328000,1311,0,1,0,1,0,0,0,1,1,1,1,1,1554,0,1,1,0,0,0,0,1,0,0,1,0,1253,0,1,0,0,1,1,1,0,0,1,0,1,1532,0,1,0,1,1,1,1,1,1,1,0,0
328500,1365,0,1,0,1,0,1,0,1,0,1,0,1,1567,0,1,1,0,0,0,0,1,1,1,1,1,1311,0,1,0,1,0,0,0,1,1,1,1,1,1554,0,1,1,0,0,0,0,1,0,0,1,0
329000,1416,0,1,0,1,1,0,0,0,1,0,0,0,1572,0,1,1,0,0,0,1,0,0,1,0,0,1365,0,1,0,1,0,1,0,1,0,1,0,1,1567,0,1,1,0,0,0,0,1,1,1,1,1
329500,1464,0,1,0,1,1,0,1,1,1,0,0,0,1566,0,1,1,0,0,0,0,1,1,1,1,0,1416,0,1,0,1,1,0,0,0,1,0,0,0,1572,0,1,1,0,0,0,1,0,0,1,0,0
330000,1505,0,1,0,1,1,1,1,0,0,0,0,1,1553,0,1,1,0,0,0,0,1,0,0,0,1,1464,0,1,0,1,1,0,1,1,1,0,0,0,1566,0,1,1,0,0,0,0,1,1,1,1,0
330500,1539,0,1,1,0,0,0,0,0,0,0,1,1,1531,0,1,0,1,1,1,1,1,1,0,1,1,1505,0,1,0,1,1,1,1,0,0,0,0,1,1553,0,1,1,0,0,0,0,1,0,0,0,1
331000,1564,0,1,1,0,0,0,0,1,1,1,0,0,1499,0,1,0,1,1,1,0,1,1,0,1,1,1539,0,1,1,0,0,0,0,0,0,0,1,1,1531,0,1,0,1,1,1,1,1,1,0,1,1
331500,1583,0,1,1,0,0,0,1,0,1,1,1,1,1461,0,1,0,1,1,0,1,1,0,1,0,1,1564,0,1,1,0,0,0,0,1,1,1,0,0,1499,0,1,0,1,1,1,0,1,1,0,1,1
332000,1595,0,1,1,0,0,0,1,1,1,0,1,1,1419,0,1,0,1,1,0,0,0,1,0,1,1,1583,0,1,1,0,0,0,1,0,1,1,1,1,1461,0,1,0,1,1,0,1,1,0,1,0,1
332500,1595,0,1,1,0,0,0,1,1,1,0,1,1,1370,0,1,0,1,0,1,0,1,1,0,1,0,1595,0,1,1,0,0,0,1,1,1,0,1,1,1419,0,1,0,1,1,0,0,0,1,0,1,1
333000,1586,0,1,1,0,0,0,1,1,0,0,1,0,1319,0,1,0,1,0,0,1,0,0,1,1,1,1595,0,1,1,0,0,0,1,1,1,0,1,1,1370,0,1,0,1,0,1,0,1,1,0,1,0
333500,1569,0,1,1,0,0,0,1,0,0,0,0,1,1261,0,1,0,0,1,1,1,0,1,1,0,1,1586,0,1,1,0,0,0,1,1,0,0,1,0,1319,0,1,0,1,0,0,1,0,0,1,1,1
334000,1544,0,1,1,0,0,0,0,0,1,0,0,0,1204,0,1,0,0,1,0,1,1,0,1,0,0,1569,0,1,1,0,0,0,1,0,0,0,0,1,1261,0,1,0,0,1,1,1,0,1,1,0,1
334500,1509,0,1,0,1,1,1,1,0,0,1,0,1,1151,0,1,0,0,0,1,1,1,1,1,1,1,1544,0,1,1,0,0,0,0,0,1,0,0,0,1204,0,1,0,0,1,0,1,1,0,1,0,0
335000,1468,0,1,0,1,1,0,1,1,1,1,0,0,1097,0,1,0,0,0,1,0,0,1,0,0,1,1509,0,1,0,1,1,1,1,0,0,1,0,1,1151,0,1,0,0,0,1,1,1,1,1,1,1
335500,1422,0,1,0,1,1,0,0,0,1,1,1,0,1046,0,1,0,0,0,0,0,1,0,1,1,0,1468,0,1,0,1,1,0,1,1,1,1,0,0,1097,0,1,0,0,0,1,0,0,1,0,0,1
336000,1369,0,1,0,1,0,1,0,1,1,0,0,1,1000,0,0,1,1,1,1,1,0,1,0,0,0,1422,0,1,0,1,1,0,0,0,1,1,1,0,1046,0,1,0,0,0,0,0,1,0,1,1,0
336500,1314,0,1,0,1,0,0,1,0,0,0,1,0,956,0,0,1,1,1,0,1,1,1,1,0,0,1369,0,1,0,1,0,1,0,1,1,0,0,1,1000,0,0,1,1,1,1,1,0,1,0,0,0
337000,1258,0,1,0,0,1,1,1,0,1,0,1,0,921,0,0,1,1,1,0,0,1,1,0,0,1,1314,0,1,0,1,0,0,1,0,0,0,1,0,956,0,0,1,1,1,0,1,1,1,1,0,0
337500,1202,0,1,0,0,1,0,1,1,0,0,1,0,891,0,0,1,1,0,1,1,1,1,0,1,1,1258,0,1,0,0,1,1,1,0,1,0,1,0,921,0,0,1,1,1,0,0,1,1,0,0,1
338000,1146,0,1,0,0,0,1,1,1,1,0,1,0,869,0,0,1,1,0,1,1,0,0,1,0,1,1202,0,1,0,0,1,0,1,1,0,0,1,0,891,0,0,1,1,0,1,1,1,1,0,1,1
338500,1092,0,1,0,0,0,1,0,0,0,1,0,0,856,0,0,1,1,0,1,0,1,1,0,0,0,1146,0,1,0,0,0,1,1,1,1,0,1,0,869,0,0,1,1,0,1,1,0,0,1,0,1
339000,1044,0,1,0,0,0,0,0,1,0,1,0,0,851,0,0,1,1,0,1,0,1,0,0,1,1,1092,0,1,0,0,0,1,0,0,0,1,0,0,856,0,0,1,1,0,1,0,1,1,0,0,0
339500,998,0,0,1,1,1,1,1,0,0,1,1,0,857,0,0,1,1,0,1,0,1,1,0,0,1,1044,0,1,0,0,0,0,0,1,0,1,0,0,851,0,0,1,1,0,1,0,1,0,0,1,1
340000,959,0,0,1,1,1,0,1,1,1,1,1,1,870,0,0,1,1,0,1,1,0,0,1,1,0,998,0,0,1,1,1,1,1,0,0,1,1,0,857,0,0,1,1,0,1,0,1,1,0,0,1
340500,926,0,0,1,1,1,0,0,1,1,1,1,0,891,0,0,1,1,0,1,1,1,1,0,1,1,959,0,0,1,1,1,0,1,1,1,1,1,1,870,0,0,1,1,0,1,1,0,0,1,1,0
341000,902,0,0,1,1,1,0,0,0,0,1,1,0,921,0,0,1,1,1,0,0,1,1,0,0,1,926,0,0,1,1,1,0,0,1,1,1,1,0,891,0,0,1,1,0,1,1,1,1,0,1,1
341500,884,0,0,1,1,0,1,1,1,0,1,0,0,955,0,0,1,1,1,0,1,1,1,0,1,1,902,0,0,1,1,1,0,0,0,0,1,1,0,921,0,0,1,1,1,0,0,1,1,0,0,1
342000,876,0,0,1,1,0,1,1,0,1,1,0,0,996,0,0,1,1,1,1,1,0,0,1,0,0,884,0,0,1,1,0,1,1,1,0,1,0,0,955,0,0,1,1,1,0,1,1,1,0,1,1
342500,874,0,0,1,1,0,1,1,0,1,0,1,0,1043,0,1,0,0,0,0,0,1,0,0,1,1,876,0,0,1,1,0,1,1,0,1,1,0,0,996,0,0,1,1,1,1,1,0,0,1,0,0
343000,882,0,0,1,1,0,1,1,1,0,0,1,0,1095,0,1,0,0,0,1,0,0,0,1,1,1,874,0,0,1,1,0,1,1,0,1,0,1,0,1043,0,1,0,0,0,0,0,1,0,0,1,1
343500,897,0,0,1,1,1,0,0,0,0,0,0,1,1148,0,1,0,0,0,1,1,1,1,1,0,0,882,0,0,1,1,0,1,1,1,0,0,1,0,1095,0,1,0,0,0,1,0,0,0,1,1,1
344000,923,0,0,1,1,1,0,0,1,1,0,1,1,1207,0,1,0,0,1,0,1,1,0,1,1,1,897,0,0,1,1,1,0,0,0,0,0,0,1,1148,0,1,0,0,0,1,1,1,1,1,0,0
344500,954,0,0,1,1,1,0,1,1,1,0,1,0,1263,0,1,0,0,1,1,1,0,1,1,1,1,923,0,0,1,1,1,0,0,1,1,0,1,1,1207,0,1,0,0,1,0,1,1,0,1,1,1
345000,993,0,0,1,1,1,1,1,0,0,0,0,1,1318,0,1,0,1,0,0,1,0,0,1,1,0,954,0,0,1,1,1,0,1,1,1,0,1,0,1263,0,1,0,0,1,1,1,0,1,1,1,1
345500,1037,0,1,0,0,0,0,0,0,1,1,0,1,1371,0,1,0,1,0,1,0,1,1,0,1,1,993,0,0,1,1,1,1,1,0,0,0,0,1,1318,0,1,0,1,0,0,1,0,0,1,1,0
346000,1087,0,1,0,0,0,0,1,1,1,1,1,1,1419,0,1,0,1,1,0,0,0,1,0,1,1,1037,0,1,0,0,0,0,0,0,1,1,0,1,1371,0,1,0,1,0,1,0,1,1,0,1,1
346500,1141,0,1,0,0,0,1,1,1,0,1,0,1,1463,0,1,0,1,1,0,1,1,0,1,1,1,1087,0,1,0,0,0,0,1,1,1,1,1,1,1419,0,1,0,1,1,0,0,0,1,0,1,1
347000,1195,0,1,0,0,1,0,1,0,1,0,1,1,1499,0,1,0,1,1,1,0,1,1,0,1,1,1141,0,1,0,0,0,1,1,1,0,1,0,1,1463,0,1,0,1,1,0,1,1,0,1,1,1
347500,1252,0,1,0,0,1,1,1,0,0,1,0,0,1530,0,1,0,1,1,1,1,1,1,0,1,0,1195,0,1,0,0,1,0,1,0,1,0,1,1,1499,0,1,0,1,1,1,0,1,1,0,1,1
348000,1308,0,1,0,1,0,0,0,1,1,1,0,0,1552,0,1,1,0,0,0,0,1,0,0,0,0,1252,0,1,0,0,1,1,1,0,0,1,0,0,1530,0,1,0,1,1,1,1,1,1,0,1,0
348500,1363,0,1,0,1,0,1,0,1,0,0,1,1,1565,0,1,1,0,0,0,0,1,1,1,0,1,1308,0,1,0,1,0,0,0,1,1,1,0,0,1552,0,1,1,0,0,0,0,1,0,0,0,0
349000,1415,0,1,0,1,1,0,0,0,0,1,1,1,1570,0,1,1,0,0,0,1,0,0,0,1,0,1363,0,1,0,1,0,1,0,1,0,0,1,1,1565,0,1,1,0,0,0,0,1,1,1,0,1
349500,1462,0,1,0,1,1,0,1,1,0,1,1,0,1565,0,1,1,0,0,0,0,1,1,1,0,1,1415,0,1,0,1,1,0,0,0,0,1,1,1,1570,0,1,1,0,0,0,1,0,0,0,1,0
350000,1503,0,1,0,1,1,1,0,1,1,1,1,1,1553,0,1,1,0,0,0,0,1,0,0,0,1,1462,0,1,0,1,1,0,1,1,0,1,1,0,1565,0,1,1,0,0,0,0,1,1,1,0,1
350500,1537,0,1,1,0,0,0,0,0,0,0,0,1,1532,0,1,0,1,1,1,1,1,1,1,0,0,1503,0,1,0,1,1,1,0,1,1,1,1,1,1553,0,1,1,0,0,0,0,1,0,0,0,1
351000,1564,0,1,1,0,0,0,0,1,1,1,0,0,1502,0,1,0,1,1,1,0,1,1,1,1,0,1537,0,1,1,0,0,0,0,0,0,0,0,1,1532,0,1,0,1,1,1,1,1,1,1,0,0
351500,1583,0,1,1,0,0,0,1,0,1,1,1,1,1465,0,1,0,1,1,0,1,1,1,0,0,1,1564,0,1,1,0,0,0,0,1,1,1,0,0,1502,0,1,0,1,1,1,0,1,1,1,1,0
352000,1592,0,1,1,0,0,0,1,1,1,0,0,0,1422,0,1,0,1,1,0,0,0,1,1,1,0,1583,0,1,1,0,0,0,1,0,1,1,1,1,1465,0,1,0,1,1,0,1,1,1,0,0,1
352500,1593,0,1,1,0,0,0,1,1,1,0,0,1,1372,0,1,0,1,0,1,0,1,1,1,0,0,1592,0,1,1,0,0,0,1,1,1,0,0,0,1422,0,1,0,1,1,0,0,0,1,1,1,0
353000,1586,0,1,1,0,0,0,1,1,0,0,1,0,1320,0,1,0,1,0,0,1,0,1,0,0,0,1593,0,1,1,0,0,0,1,1,1,0,0,1,1372,0,1,0,1,0,1,0,1,1,1,0,0
353500,1569,0,1,1,0,0,0,1,0,0,0,0,1,1264,0,1,0,0,1,1,1,1,0,0,0,0,1586,0,1,1,0,0,0,1,1,0,0,1,0,1320,0,1,0,1,0,0,1,0,1,0,0,0
354000,1543,0,1,1,0,0,0,0,0,0,1,1,1,1208,0,1,0,0,1,0,1,1,1,0,0,0,1569,0,1,1,0,0,0,1,0,0,0,0,1,1264,0,1,0,0,1,1,1,1,0,0,0,0
354500,1510,0,1,0,1,1,1,1,0,0,1,1,0,1151,0,1,0,0,0,1,1,1,1,1,1,1,1543,0,1,1,0,0,0,0,0,0,1,1,1,1208,0,1,0,0,1,0,1,1,1,0,0,0
355000,1471,0,1,0,1,1,0,1,1,1,1,1,1,1096,0,1,0,0,0,1,0,0,1,0,0,0,1510,0,1,0,1,1,1,1,0,0,1,1,0,1151,0,1,0,0,0,1,1,1,1,1,1,1
355500,1423,0,1,0,1,1,0,0,0,1,1,1,1,1045,0,1,0,0,0,0,0,1,0,1,0,1,1471,0,1,0,1,1,0,1,1,1,1,1,1,1096,0,1,0,0,0,1,0,0,1,0,0,0
356000,1371,0,1,0,1,0,1,0,1,1,0,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1,1423,0,1,0,1,1,0,0,0,1,1,1,1,1045,0,1,0,0,0,0,0,1,0,1,0,1
356500,1316,0,1,0,1,0,0,1,0,0,1,0,0,956,0,0,1,1,1,0,1,1,1,1,0,0,1371,0,1,0,1,0,1,0,1,1,0,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1
357000,1259,0,1,0,0,1,1,1,0,1,0,1,1,920,0,0,1,1,1,0,0,1,1,0,0,0,1316,0,1,0,1,0,0,1,0,0,1,0,0,956,0,0,1,1,1,0,1,1,1,1,0,0
357500,1203,0,1,0,0,1,0,1,1,0,0,1,1,892,0,0,1,1,0,1,1,1,1,1,0,0,1259,0,1,0,0,1,1,1,0,1,0,1,1,920,0,0,1,1,1,0,0,1,1,0,0,0
358000,1146,0,1,0,0,0,1,1,1,1,0,1,0,870,0,0,1,1,0,1,1,0,0,1,1,0,1203,0,1,0,0,1,0,1,1,0,0,1,1,892,0,0,1,1,0,1,1,1,1,1,0,0
358500,1092,0,1,0,0,0,1,0,0,0,1,0,0,857,0,0,1,1,0,1,0,1,1,0,0,1,1146,0,1,0,0,0,1,1,1,1,0,1,0,870,0,0,1,1,0,1,1,0,0,1,1,0
359000,1043,0,1,0,0,0,0,0,1,0,0,1,1,853,0,0,1,1,0,1,0,1,0,1,0,1,1092,0,1,0,0,0,1,0,0,0,1,0,0,857,0,0,1,1,0,1,0,1,1,0,0,1
359500,997,0,0,1,1,1,1,1,0,0,1,0,1,858,0,0,1,1,0,1,0,1,1,0,1,0,1043,0,1,0,0,0,0,0,1,0,0,1,1,853,0,0,1,1,0,1,0,1,0,1,0,1
360000,957,0,0,1,1,1,0,1,1,1,1,0,1,871,0,0,1,1,0,1,1,0,0,1,1,1,997,0,0,1,1,1,1,1,0,0,1,0,1,858,0,0,1,1,0,1,0,1,1,0,1,0
360500,923,0,0,1,1,1,0,0,1,1,0,1,1,893,0,0,1,1,0,1,1,1,1,1,0,1,957,0,0,1,1,1,0,1,1,1,1,0,1,871,0,0,1,1,0,1,1,0,0,1,1,1
361000,899,0,0,1,1,1,0,0,0,0,0,1,1,922,0,0,1,1,1,0,0,1,1,0,1,0,923,0,0,1,1,1,0,0,1,1,0,1,1,893,0,0,1,1,0,1,1,1,1,1,0,1
361500,883,0,0,1,1,0,1,1,1,0,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1,899,0,0,1,1,1,0,0,0,0,0,1,1,922,0,0,1,1,1,0,0,1,1,0,1,0
362000,873,0,0,1,1,0,1,1,0,1,0,0,1,998,0,0,1,1,1,1,1,0,0,1,1,0,883,0,0,1,1,0,1,1,1,0,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1
362500,874,0,0,1,1,0,1,1,0,1,0,1,0,1045,0,1,0,0,0,0,0,1,0,1,0,1,873,0,0,1,1,0,1,1,0,1,0,0,1,998,0,0,1,1,1,1,1,0,0,1,1,0
363000,884,0,0,1,1,0,1,1,1,0,1,0,0,1095,0,1,0,0,0,1,0,0,0,1,1,1,874,0,0,1,1,0,1,1,0,1,0,1,0,1045,0,1,0,0,0,0,0,1,0,1,0,1
363500,901,0,0,1,1,1,0,0,0,0,1,0,1,1150,0,1,0,0,0,1,1,1,1,1,1,0,884,0,0,1,1,0,1,1,1,0,1,0,0,1095,0,1,0,0,0,1,0,0,0,1,1,1
364000,926,0,0,1,1,1,0,0,1,1,1,1,0,1207,0,1,0,0,1,0,1,1,0,1,1,1,901,0,0,1,1,1,0,0,0,0,1,0,1,1150,0,1,0,0,0,1,1,1,1,1,1,0
364500,957,0,0,1,1,1,0,1,1,1,1,0,1,1264,0,1,0,0,1,1,1,1,0,0,0,0,926,0,0,1,1,1,0,0,1,1,1,1,0,1207,0,1,0,0,1,0,1,1,0,1,1,1
365000,995,0,0,1,1,1,1,1,0,0,0,1,1,1320,0,1,0,1,0,0,1,0,1,0,0,0,957,0,0,1,1,1,0,1,1,1,1,0,1,1264,0,1,0,0,1,1,1,1,0,0,0,0
365500,1039,0,1,0,0,0,0,0,0,1,1,1,1,1371,0,1,0,1,0,1,0,1,1,0,1,1,995,0,0,1,1,1,1,1,0,0,0,1,1,1320,0,1,0,1,0,0,1,0,1,0,0,0
