Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: us, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
1287,1305,0,1,0,1,0,0,0,1,1,0,0,1,879,0,0,1,1,0,1,1,0,1,1,1,1
1288,1338,0,1,0,1,0,0,1,1,1,0,1,0,873,0,0,1,1,0,1,1,0,1,0,0,1
1289,1369,0,1,0,1,0,1,0,1,1,0,0,1,879,0,0,1,1,0,1,1,0,1,1,1,1
1290,1395,0,1,0,1,0,1,1,1,0,0,1,1,891,0,0,1,1,0,1,1,1,1,0,1,1
1291,1415,0,1,0,1,1,0,0,0,0,1,1,1,913,0,0,1,1,1,0,0,1,0,0,0,1
1292,1440,0,1,0,1,1,0,1,0,0,0,0,0,953,0,0,1,1,1,0,1,1,1,0,0,1
1293,1453,0,1,0,1,1,0,1,0,1,1,0,1,997,0,0,1,1,1,1,1,0,0,1,0,1
1294,1457,0,1,0,1,1,0,1,1,0,0,0,1,1045,0,1,0,0,0,0,0,1,0,1,0,1
1295,1456,0,1,0,1,1,0,1,1,0,0,0,0,1097,0,1,0,0,0,1,0,0,1,0,0,1
1296,1448,0,1,0,1,1,0,1,0,1,0,0,0,1155,0,1,0,0,1,0,0,0,0,0,1,1
1297,1436,0,1,0,1,1,0,0,1,1,1,0,0,1215,0,1,0,0,1,0,1,1,1,1,1,1
1298,1415,0,1,0,1,1,0,0,0,0,1,1,1,1273,0,1,0,0,1,1,1,1,1,0,0,1
1299,1397,0,1,0,1,0,1,1,1,0,1,0,1,1339,0,1,0,1,0,0,1,1,1,0,1,1
1300,1363,0,1,0,1,0,1,0,1,0,0,1,1,1387,0,1,0,1,0,1,1,0,1,0,1,1
1301,1331,0,1,0,1,0,0,1,1,0,0,1,1,1437,0,1,0,1,1,0,0,1,1,1,0,1
1302,1294,0,1,0,1,0,0,0,0,1,1,1,0,1479,0,1,0,1,1,1,0,0,0,1,1,1
1303,1257,0,1,0,0,1,1,1,0,1,0,0,1,1515,0,1,0,1,1,1,1,0,1,0,1,1
1304,1218,0,1,0,0,1,1,0,0,0,0,1,0,1539,0,1,1,0,0,0,0,0,0,0,1,1
1305,1182,0,1,0,0,1,0,0,1,1,1,1,0,1557,0,1,1,0,0,0,0,1,0,1,0,1
1306,1148,0,1,0,0,0,1,1,1,1,1,0,0,1565,0,1,1,0,0,0,0,1,1,1,0,1
1307,1115,0,1,0,0,0,1,0,1,1,0,1,1,1561,0,1,1,0,0,0,0,1,1,0,0,1
1308,1088,0,1,0,0,0,1,0,0,0,0,0,0,1549,0,1,1,0,0,0,0,0,1,1,0,1
1309,1065,0,1,0,0,0,0,1,0,1,0,0,1,1525,0,1,0,1,1,1,1,1,0,1,0,1
1310,1050,0,1,0,0,0,0,0,1,1,0,1,0,1497,0,1,0,1,1,1,0,1,1,0,0,1
1311,1032,0,1,0,0,0,0,0,0,1,0,0,0,1451,0,1,0,1,1,0,1,0,1,0,1,1
1312,1027,0,1,0,0,0,0,0,0,0,0,1,1,1405,0,1,0,1,0,1,1,1,1,1,0,1
1313,1025,0,1,0,0,0,0,0,0,0,0,0,1,1349,0,1,0,1,0,1,0,0,0,1,0,1
1314,1033,0,1,0,0,0,0,0,0,1,0,0,1,1295,0,1,0,1,0,0,0,0,1,1,1,1
1315,1044,0,1,0,0,0,0,0,1,0,1,0,0,1235,0,1,0,0,1,1,0,1,0,0,1,1
1316,1064,0,1,0,0,0,0,1,0,1,0,0,0,1177,0,1,0,0,1,0,0,1,1,0,0,1
1317,1087,0,1,0,0,0,0,1,1,1,1,1,1,1117,0,1,0,0,0,1,0,1,1,1,0,1
1318,1116,0,1,0,0,0,1,0,1,1,1,0,0,1063,0,1,0,0,0,0,1,0,0,1,1,1
1319,1147,0,1,0,0,0,1,1,1,1,0,1,1,1013,0,0,1,1,1,1,1,1,0,1,0,1
1320,1178,0,1,0,0,1,0,0,1,1,0,1,0,965,0,0,1,1,1,1,0,0,0,1,0,1
1321,1218,0,1,0,0,1,1,0,0,0,0,1,0,931,0,0,1,1,1,0,1,0,0,0,1,1
1322,1254,0,1,0,0,1,1,1,0,0,1,1,0,901,0,0,1,1,1,0,0,0,0,1,0,1
1323,1291,0,1,0,1,0,0,0,0,1,0,1,1,883,0,0,1,1,0,1,1,1,0,0,1,1
1324,1334,0,1,0,1,0,0,1,1,0,1,1,0,881,0,0,1,1,0,1,1,1,0,0,0,1
1325,1363,0,1,0,1,0,1,0,1,0,0,1,1,879,0,0,1,1,0,1,1,0,1,1,1,1
1326,1385,0,1,0,1,0,1,1,0,1,0,0,1,883,0,0,1,1,0,1,1,1,0,0,1,1
1327,1412,0,1,0,1,1,0,0,0,0,1,0,0,907,0,0,1,1,1,0,0,0,1,0,1,1
1328,1431,0,1,0,1,1,0,0,1,0,1,1,1,937,0,0,1,1,1,0,1,0,1,0,0,1
1329,1447,0,1,0,1,1,0,1,0,0,1,1,1,979,0,0,1,1,1,1,0,1,0,0,1,1
1330,1455,0,1,0,1,1,0,1,0,1,1,1,1,1025,0,1,0,0,0,0,0,0,0,0,0,1
1331,1458,0,1,0,1,1,0,1,1,0,0,1,0,1079,0,1,0,0,0,0,1,1,0,1,1,1
1332,1453,0,1,0,1,1,0,1,0,1,1,0,1,1135,0,1,0,0,0,1,1,0,1,1,1,1
1333,1443,0,1,0,1,1,0,1,0,0,0,1,1,1193,0,1,0,0,1,0,1,0,1,0,0,1
1334,1421,0,1,0,1,1,0,0,0,1,1,0,1,1251,0,1,0,0,1,1,1,0,0,0,1,1
1335,1402,0,1,0,1,0,1,1,1,1,0,1,0,1311,0,1,0,1,0,0,0,1,1,1,1,1
1336,1374,0,1,0,1,0,1,0,1,1,1,1,0,1367,0,1,0,1,0,1,0,1,0,1,1,1
1337,1345,0,1,0,1,0,1,0,0,0,0,0,1,1421,0,1,0,1,1,0,0,0,1,1,0,1
1338,1307,0,1,0,1,0,0,0,1,1,0,1,1,1463,0,1,0,1,1,0,1,1,0,1,1,1
1339,1268,0,1,0,0,1,1,1,1,0,1,0,0,1499,0,1,0,1,1,1,0,1,1,0,1,1
1340,1231,0,1,0,0,1,1,0,0,1,1,1,1,1529,0,1,0,1,1,1,1,1,1,0,0,1
1341,1192,0,1,0,0,1,0,1,0,1,0,0,0,1549,0,1,1,0,0,0,0,0,1,1,0,1
1342,1160,0,1,0,0,1,0,0,0,1,0,0,0,1563,0,1,1,0,0,0,0,1,1,0,1,1
1343,1123,0,1,0,0,0,1,1,0,0,0,1,1,1559,0,1,1,0,0,0,0,1,0,1,1,1
1344,1098,0,1,0,0,0,1,0,0,1,0,1,0,1555,0,1,1,0,0,0,0,1,0,0,1,1
1345,1072,0,1,0,0,0,0,1,1,0,0,0,0,1533,0,1,0,1,1,1,1,1,1,1,0,1
1346,1052,0,1,0,0,0,0,0,1,1,1,0,0,1505,0,1,0,1,1,1,1,0,0,0,0,1
1347,1036,0,1,0,0,0,0,0,0,1,1,0,0,1465,0,1,0,1,1,0,1,1,1,0,0,1
1348,1025,0,1,0,0,0,0,0,0,0,0,0,1,1419,0,1,0,1,1,0,0,0,1,0,1,1
1349,1028,0,1,0,0,0,0,0,0,0,1,0,0,1373,0,1,0,1,0,1,0,1,1,1,0,1
1350,1030,0,1,0,0,0,0,0,0,0,1,1,0,1315,0,1,0,1,0,0,1,0,0,0,1,1
1351,1038,0,1,0,0,0,0,0,0,1,1,1,0,1253,0,1,0,0,1,1,1,0,0,1,0,1
1352,1056,0,1,0,0,0,0,1,0,0,0,0,0,1197,0,1,0,0,1,0,1,0,1,1,0,1
1353,1079,0,1,0,0,0,0,1,1,0,1,1,1,1139,0,1,0,0,0,1,1,1,0,0,1,1
1354,1103,0,1,0,0,0,1,0,0,1,1,1,1,1081,0,1,0,0,0,0,1,1,1,0,0,1
1355,1133,0,1,0,0,0,1,1,0,1,1,0,1,1029,0,1,0,0,0,0,0,0,0,1,0,1
1356,1165,0,1,0,0,1,0,0,0,1,1,0,1,979,0,0,1,1,1,1,0,1,0,0,1,1
1357,1203,0,1,0,0,1,0,1,1,0,0,1,1,941,0,0,1,1,1,0,1,0,1,1,0,1
1358,1241,0,1,0,0,1,1,0,1,1,0,0,1,911,0,0,1,1,1,0,0,0,1,1,1,1
1359,1278,0,1,0,0,1,1,1,1,1,1,1,0,887,0,0,1,1,0,1,1,1,0,1,1,1
1360,1313,0,1,0,1,0,0,1,0,0,0,0,1,873,0,0,1,1,0,1,1,0,1,0,0,1
1361,1347,0,1,0,1,0,1,0,0,0,0,1,1,873,0,0,1,1,0,1,1,0,1,0,0,1
1362,1372,0,1,0,1,0,1,0,1,1,1,0,0,875,0,0,1,1,0,1,1,0,1,0,1,1
1363,1402,0,1,0,1,0,1,1,1,1,0,1,0,895,0,0,1,1,0,1,1,1,1,1,1,1
1364,1426,0,1,0,1,1,0,0,1,0,0,1,0,927,0,0,1,1,1,0,0,1,1,1,1,1
1365,1444,0,1,0,1,1,0,1,0,0,1,0,0,963,0,0,1,1,1,1,0,0,0,0,1,1
1366,1453,0,1,0,1,1,0,1,0,1,1,0,1,1007,0,0,1,1,1,1,1,0,1,1,1,1
1367,1457,0,1,0,1,1,0,1,1,0,0,0,1,1057,0,1,0,0,0,0,1,0,0,0,0,1
1368,1447,0,1,0,1,1,0,1,0,0,1,1,1,1103,0,1,0,0,0,1,0,0,1,1,1,1
1369,1446,0,1,0,1,1,0,1,0,0,1,1,0,1171,0,1,0,0,1,0,0,1,0,0,1,1
1370,1428,0,1,0,1,1,0,0,1,0,1,0,0,1227,0,1,0,0,1,1,0,0,1,0,1,1
1371,1409,0,1,0,1,1,0,0,0,0,0,0,1,1289,0,1,0,1,0,0,0,0,1,0,0,1
1372,1384,0,1,0,1,0,1,1,0,1,0,0,0,1347,0,1,0,1,0,1,0,0,0,0,1,1
1373,1355,0,1,0,1,0,1,0,0,1,0,1,1,1401,0,1,0,1,0,1,1,1,1,0,0,1
1374,1321,0,1,0,1,0,0,1,0,1,0,0,1,1449,0,1,0,1,1,0,1,0,1,0,0,1
1375,1283,0,1,0,1,0,0,0,0,0,0,1,1,1487,0,1,0,1,1,1,0,0,1,1,1,1
1376,1244,0,1,0,0,1,1,0,1,1,1,0,0,1519,0,1,0,1,1,1,1,0,1,1,1,1
1377,1207,0,1,0,0,1,0,1,1,0,1,1,1,1543,0,1,1,0,0,0,0,0,0,1,1,1
1378,1172,0,1,0,0,1,0,0,1,0,1,0,0,1559,0,1,1,0,0,0,0,1,0,1,1,1
1379,1138,0,1,0,0,0,1,1,1,0,0,1,0,1561,0,1,1,0,0,0,0,1,1,0,0,1
1380,1107,0,1,0,0,0,1,0,1,0,0,1,1,1557,0,1,1,0,0,0,0,1,0,1,0,1
1381,1080,0,1,0,0,0,0,1,1,1,0,0,0,1539,0,1,1,0,0,0,0,0,0,0,1,1
1382,1057,0,1,0,0,0,0,1,0,0,0,0,1,1513,0,1,0,1,1,1,1,0,1,0,0,1
1383,1041,0,1,0,0,0,0,0,1,0,0,0,1,1479,0,1,0,1,1,1,0,0,0,1,1,1
1384,1030,0,1,0,0,0,0,0,0,0,1,1,0,1437,0,1,0,1,1,0,0,1,1,1,0,1
1385,1025,0,1,0,0,0,0,0,0,0,0,0,1,1387,0,1,0,1,0,1,1,0,1,0,1,1
1386,1028,0,1,0,0,0,0,0,0,0,1,0,0,1335,0,1,0,1,0,0,1,1,0,1,1,1
1387,1035,0,1,0,0,0,0,0,0,1,0,1,1,1277,0,1,0,0,1,1,1,1,1,1,0,1
1388,1051,0,1,0,0,0,0,0,1,1,0,1,1,1217,0,1,0,0,1,1,0,0,0,0,0,1
1389,1069,0,1,0,0,0,0,1,0,1,1,0,1,1159,0,1,0,0,1,0,0,0,0,1,1,1
1390,1092,0,1,0,0,0,1,0,0,0,1,0,0,1097,0,1,0,0,0,1,0,0,1,0,0,1
1391,1122,0,1,0,0,0,1,1,0,0,0,1,0,1045,0,1,0,0,0,0,0,1,0,1,0,1
1392,1153,0,1,0,0,1,0,0,0,0,0,0,1,995,0,0,1,1,1,1,1,0,0,0,1,1
1393,1189,0,1,0,0,1,0,1,0,0,1,0,1,953,0,0,1,1,1,0,1,1,1,0,0,1
1394,1227,0,1,0,0,1,1,0,0,1,0,1,1,919,0,0,1,1,1,0,0,1,0,1,1,1
1395,1265,0,1,0,0,1,1,1,1,0,0,0,1,895,0,0,1,1,0,1,1,1,1,1,1,1
1396,1303,0,1,0,1,0,0,0,1,0,1,1,1,879,0,0,1,1,0,1,1,0,1,1,1,1
1397,1335,0,1,0,1,0,0,1,1,0,1,1,1,871,0,0,1,1,0,1,1,0,0,1,1,1
1398,1369,0,1,0,1,0,1,0,1,1,0,0,1,877,0,0,1,1,0,1,1,0,1,1,0,1
1399,1393,0,1,0,1,0,1,1,1,0,0,0,1,887,0,0,1,1,0,1,1,1,0,1,1,1
1400,1416,0,1,0,1,1,0,0,0,1,0,0,0,911,0,0,1,1,1,0,0,0,1,1,1,1
1401,1440,0,1,0,1,1,0,1,0,0,0,0,0,951,0,0,1,1,1,0,1,1,0,1,1,1
1402,1451,0,1,0,1,1,0,1,0,1,0,1,1,989,0,0,1,1,1,1,0,1,1,1,0,1
1403,1457,0,1,0,1,1,0,1,1,0,0,0,1,1037,0,1,0,0,0,0,0,0,1,1,0,1
1404,1460,0,1,0,1,1,0,1,1,0,1,0,0,1095,0,1,0,0,0,1,0,0,0,1,1,1
1405,1449,0,1,0,1,1,0,1,0,1,0,0,1,1147,0,1,0,0,0,1,1,1,1,0,1,1
1406,1435,0,1,0,1,1,0,0,1,1,0,1,1,1205,0,1,0,0,1,0,1,1,0,1,0,1
1407,1416,0,1,0,1,1,0,0,0,1,0,0,0,1265,0,1,0,0,1,1,1,1,0,0,0,1
1408,1394,0,1,0,1,0,1,1,1,0,0,1,0,1325,0,1,0,1,0,0,1,0,1,1,0,1
1409,1367,0,1,0,1,0,1,0,1,0,1,1,1,1381,0,1,0,1,0,1,1,0,0,1,0,1
1410,1334,0,1,0,1,0,0,1,1,0,1,1,0,1431,0,1,0,1,1,0,0,1,0,1,1,1
1411,1298,0,1,0,1,0,0,0,1,0,0,1,0,1475,0,1,0,1,1,1,0,0,0,0,1,1
1412,1256,0,1,0,0,1,1,1,0,1,0,0,0,1505,0,1,0,1,1,1,1,0,0,0,0,1
1413,1220,0,1,0,0,1,1,0,0,0,1,0,0,1533,0,1,0,1,1,1,1,1,1,1,0,1
1414,1183,0,1,0,0,1,0,0,1,1,1,1,1,1551,0,1,1,0,0,0,0,0,1,1,1,1
1415,1149,0,1,0,0,0,1,1,1,1,1,0,1,1559,0,1,1,0,0,0,0,1,0,1,1,1
1416,1119,0,1,0,0,0,1,0,1,1,1,1,1,1559,0,1,1,0,0,0,0,1,0,1,1,1
1417,1091,0,1,0,0,0,1,0,0,0,0,1,1,1547,0,1,1,0,0,0,0,0,1,0,1,1
1418,1068,0,1,0,0,0,0,1,0,1,1,0,0,1527,0,1,0,1,1,1,1,1,0,1,1,1
1419,1047,0,1,0,0,0,0,0,1,0,1,1,1,1493,0,1,0,1,1,1,0,1,0,1,0,1
1420,1033,0,1,0,0,0,0,0,0,1,0,0,1,1451,0,1,0,1,1,0,1,0,1,0,1,1
1421,1026,0,1,0,0,0,0,0,0,0,0,1,0,1405,0,1,0,1,0,1,1,1,1,1,0,1
1422,1026,0,1,0,0,0,0,0,0,0,0,1,0,1353,0,1,0,1,0,1,0,0,1,0,0,1
1423,1033,0,1,0,0,0,0,0,0,1,0,0,1,1297,0,1,0,1,0,0,0,1,0,0,0,1
1424,1045,0,1,0,0,0,0,0,1,0,1,0,1,1239,0,1,0,0,1,1,0,1,0,1,1,1
1425,1064,0,1,0,0,0,0,1,0,1,0,0,0,1181,0,1,0,0,1,0,0,1,1,1,0,1
1426,1084,0,1,0,0,0,0,1,1,1,1,0,0,1119,0,1,0,0,0,1,0,1,1,1,1,1
1427,1107,0,1,0,0,0,1,0,1,0,0,1,1,1061,0,1,0,0,0,0,1,0,0,1,0,1
1428,1142,0,1,0,0,0,1,1,1,0,1,1,0,1011,0,0,1,1,1,1,1,1,0,0,1,1
1429,1175,0,1,0,0,1,0,0,1,0,1,1,1,965,0,0,1,1,1,1,0,0,0,1,0,1
1430,1215,0,1,0,0,1,0,1,1,1,1,1,1,931,0,0,1,1,1,0,1,0,0,0,1,1
1431,1256,0,1,0,0,1,1,1,0,1,0,0,0,907,0,0,1,1,1,0,0,0,1,0,1,1
1432,1289,0,1,0,1,0,0,0,0,1,0,0,1,883,0,0,1,1,0,1,1,1,0,0,1,1
1433,1319,0,1,0,1,0,0,1,0,0,1,1,1,867,0,0,1,1,0,1,1,0,0,0,1,1
1434,1355,0,1,0,1,0,1,0,0,1,0,1,1,871,0,0,1,1,0,1,1,0,0,1,1,1
1435,1385,0,1,0,1,0,1,1,0,1,0,0,1,881,0,0,1,1,0,1,1,1,0,0,0,1
1436,1409,0,1,0,1,1,0,0,0,0,0,0,1,901,0,0,1,1,1,0,0,0,0,1,0,1
1437,1437,0,1,0,1,1,0,0,1,1,1,0,1,939,0,0,1,1,1,0,1,0,1,0,1,1
1438,1448,0,1,0,1,1,0,1,0,1,0,0,0,973,0,0,1,1,1,1,0,0,1,1,0,1
1439,1456,0,1,0,1,1,0,1,1,0,0,0,0,1019,0,0,1,1,1,1,1,1,1,0,1,1
1440,1458,0,1,0,1,1,0,1,1,0,0,1,0,1071,0,1,0,0,0,0,1,0,1,1,1,1
1441,1452,0,1,0,1,1,0,1,0,1,1,0,0,1125,0,1,0,0,0,1,1,0,0,1,0,1
1442,1440,0,1,0,1,1,0,1,0,0,0,0,0,1181,0,1,0,0,1,0,0,1,1,1,0,1
1443,1424,0,1,0,1,1,0,0,1,0,0,0,0,1243,0,1,0,0,1,1,0,1,1,0,1,1
1444,1403,0,1,0,1,0,1,1,1,1,0,1,1,1303,0,1,0,1,0,0,0,1,0,1,1,1
1445,1378,0,1,0,1,0,1,1,0,0,0,1,0,1363,0,1,0,1,0,1,0,1,0,0,1,1
1446,1346,0,1,0,1,0,1,0,0,0,0,1,0,1411,0,1,0,1,1,0,0,0,0,0,1,1
1447,1311,0,1,0,1,0,0,0,1,1,1,1,1,1457,0,1,0,1,1,0,1,1,0,0,0,1
1448,1268,0,1,0,0,1,1,1,1,0,1,0,0,1491,0,1,0,1,1,1,0,1,0,0,1,1
1449,1235,0,1,0,0,1,1,0,1,0,0,1,1,1527,0,1,0,1,1,1,1,1,0,1,1,1
1450,1201,0,1,0,0,1,0,1,1,0,0,0,1,1551,0,1,1,0,0,0,0,0,1,1,1,1
1451,1162,0,1,0,0,1,0,0,0,1,0,1,0,1559,0,1,1,0,0,0,0,1,0,1,1,1
1452,1130,0,1,0,0,0,1,1,0,1,0,1,0,1561,0,1,1,0,0,0,0,1,1,0,0,1
1453,1100,0,1,0,0,0,1,0,0,1,1,0,0,1553,0,1,1,0,0,0,0,1,0,0,0,1
1454,1071,0,1,0,0,0,0,1,0,1,1,1,1,1529,0,1,0,1,1,1,1,1,1,0,0,1
1455,1053,0,1,0,0,0,0,0,1,1,1,0,1,1505,0,1,0,1,1,1,1,0,0,0,0,1
1456,1042,0,1,0,0,0,0,0,1,0,0,1,0,1473,0,1,0,1,1,1,0,0,0,0,0,1
1457,1028,0,1,0,0,0,0,0,0,0,1,0,0,1423,0,1,0,1,1,0,0,0,1,1,1,1
1458,1024,0,1,0,0,0,0,0,0,0,0,0,0,1371,0,1,0,1,0,1,0,1,1,0,1,1
1459,1030,0,1,0,0,0,0,0,0,0,1,1,0,1319,0,1,0,1,0,0,1,0,0,1,1,1
1460,1040,0,1,0,0,0,0,0,1,0,0,0,0,1261,0,1,0,0,1,1,1,0,1,1,0,1
1461,1055,0,1,0,0,0,0,0,1,1,1,1,1,1201,0,1,0,0,1,0,1,1,0,0,0,1
1462,1077,0,1,0,0,0,0,1,1,0,1,0,1,1143,0,1,0,0,0,1,1,1,0,1,1,1
1463,1102,0,1,0,0,0,1,0,0,1,1,1,0,1087,0,1,0,0,0,0,1,1,1,1,1,1
1464,1131,0,1,0,0,0,1,1,0,1,0,1,1,1031,0,1,0,0,0,0,0,0,0,1,1,1
1465,1164,0,1,0,0,1,0,0,0,1,1,0,0,983,0,0,1,1,1,1,0,1,0,1,1,1
1466,1201,0,1,0,0,1,0,1,1,0,0,0,1,945,0,0,1,1,1,0,1,1,0,0,0,1
1467,1238,0,1,0,0,1,1,0,1,0,1,1,0,913,0,0,1,1,1,0,0,1,0,0,0,1
1468,1274,0,1,0,0,1,1,1,1,1,0,1,0,887,0,0,1,1,0,1,1,1,0,1,1,1
1469,1314,0,1,0,1,0,0,1,0,0,0,1,0,877,0,0,1,1,0,1,1,0,1,1,0,1
1470,1343,0,1,0,1,0,0,1,1,1,1,1,1,869,0,0,1,1,0,1,1,0,0,1,0,1
1471,1374,0,1,0,1,0,1,0,1,1,1,1,0,877,0,0,1,1,0,1,1,0,1,1,0,1
1472,1405,0,1,0,1,0,1,1,1,1,1,0,1,899,0,0,1,1,1,0,0,0,0,0,1,1
1473,1426,0,1,0,1,1,0,0,1,0,0,1,0,923,0,0,1,1,1,0,0,1,1,0,1,1
1474,1443,0,1,0,1,1,0,1,0,0,0,1,1,959,0,0,1,1,1,0,1,1,1,1,1,1
1475,1454,0,1,0,1,1,0,1,0,1,1,1,0,1003,0,0,1,1,1,1,1,0,1,0,1,1
1476,1457,0,1,0,1,1,0,1,1,0,0,0,1,1051,0,1,0,0,0,0,0,1,1,0,1,1
1477,1454,0,1,0,1,1,0,1,0,1,1,1,0,1103,0,1,0,0,0,1,0,0,1,1,1,1
1478,1446,0,1,0,1,1,0,1,0,0,1,1,0,1163,0,1,0,0,1,0,0,0,1,0,1,1
1479,1434,0,1,0,1,1,0,0,1,1,0,1,0,1225,0,1,0,0,1,1,0,0,1,0,0,1
1480,1412,0,1,0,1,1,0,0,0,0,1,0,0,1283,0,1,0,1,0,0,0,0,0,0,1,1
1481,1394,0,1,0,1,0,1,1,1,0,0,1,0,1349,0,1,0,1,0,1,0,0,0,1,0,1
1482,1357,0,1,0,1,0,1,0,0,1,1,0,1,1395,0,1,0,1,0,1,1,1,0,0,1,1
1483,1324,0,1,0,1,0,0,1,0,1,1,0,0,1443,0,1,0,1,1,0,1,0,0,0,1,1
1484,1287,0,1,0,1,0,0,0,0,0,1,1,1,1483,0,1,0,1,1,1,0,0,1,0,1,1
1485,1248,0,1,0,0,1,1,1,0,0,0,0,0,1517,0,1,0,1,1,1,1,0,1,1,0,1
1486,1212,0,1,0,0,1,0,1,1,1,1,0,0,1543,0,1,1,0,0,0,0,0,0,1,1,1
1487,1176,0,1,0,0,1,0,0,1,1,0,0,0,1557,0,1,1,0,0,0,0,1,0,1,0,1
1488,1143,0,1,0,0,0,1,1,1,0,1,1,1,1565,0,1,1,0,0,0,0,1,1,1,0,1
1489,1111,0,1,0,0,0,1,0,1,0,1,1,1,1559,0,1,1,0,0,0,0,1,0,1,1,1
1490,1082,0,1,0,0,0,0,1,1,1,0,1,0,1541,0,1,1,0,0,0,0,0,0,1,0,1
1491,1060,0,1,0,0,0,0,1,0,0,1,0,0,1517,0,1,0,1,1,1,1,0,1,1,0,1
1492,1046,0,1,0,0,0,0,0,1,0,1,1,0,1487,0,1,0,1,1,1,0,0,1,1,1,1
1493,1029,0,1,0,0,0,0,0,0,0,1,0,1,1439,0,1,0,1,1,0,0,1,1,1,1,1
1494,1028,0,1,0,0,0,0,0,0,0,1,0,0,1395,0,1,0,1,0,1,1,1,0,0,1,1
1495,1028,0,1,0,0,0,0,0,0,0,1,0,0,1341,0,1,0,1,0,0,1,1,1,1,0,1
1496,1034,0,1,0,0,0,0,0,0,1,0,1,0,1281,0,1,0,1,0,0,0,0,0,0,0,1
1497,1049,0,1,0,0,0,0,0,1,1,0,0,1,1223,0,1,0,0,1,1,0,0,0,1,1,1
1498,1067,0,1,0,0,0,0,1,0,1,0,1,1,1163,0,1,0,0,1,0,0,0,1,0,1,1
1499,1090,0,1,0,0,0,1,0,0,0,0,1,0,1105,0,1,0,0,0,1,0,1,0,0,0,1
1500,1116,0,1,0,0,0,1,0,1,1,1,0,0,1047,0,1,0,0,0,0,0,1,0,1,1,1
1501,1151,0,1,0,0,0,1,1,1,1,1,1,1,999,0,0,1,1,1,1,1,0,0,1,1,1
1502,1187,0,1,0,0,1,0,1,0,0,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1
1503,1223,0,1,0,0,1,1,0,0,0,1,1,1,921,0,0,1,1,1,0,0,1,1,0,0,1
1504,1262,0,1,0,0,1,1,1,0,1,1,1,0,897,0,0,1,1,1,0,0,0,0,0,0,1
1505,1298,0,1,0,1,0,0,0,1,0,0,1,0,877,0,0,1,1,0,1,1,0,1,1,0,1
1506,1337,0,1,0,1,0,0,1,1,1,0,0,1,875,0,0,1,1,0,1,1,0,1,0,1,1
1507,1360,0,1,0,1,0,1,0,1,0,0,0,0,869,0,0,1,1,0,1,1,0,0,1,0,1
1508,1393,0,1,0,1,0,1,1,1,0,0,0,1,887,0,0,1,1,0,1,1,1,0,1,1,1
1509,1416,0,1,0,1,1,0,0,0,1,0,0,0,909,0,0,1,1,1,0,0,0,1,1,0,1
1510,1438,0,1,0,1,1,0,0,1,1,1,1,0,945,0,0,1,1,1,0,1,1,0,0,0,1
1511,1448,0,1,0,1,1,0,1,0,1,0,0,0,983,0,0,1,1,1,1,0,1,0,1,1,1
1512,1460,0,1,0,1,1,0,1,1,0,1,0,0,1035,0,1,0,0,0,0,0,0,1,0,1,1
1513,1455,0,1,0,1,1,0,1,0,1,1,1,1,1083,0,1,0,0,0,0,1,1,1,0,1,1
1514,1451,0,1,0,1,1,0,1,0,1,0,1,1,1143,0,1,0,0,0,1,1,1,0,1,1,1
1515,1437,0,1,0,1,1,0,0,1,1,1,0,1,1199,0,1,0,0,1,0,1,0,1,1,1,1
1516,1419,0,1,0,1,1,0,0,0,1,0,1,1,1259,0,1,0,0,1,1,1,0,1,0,1,1
1517,1396,0,1,0,1,0,1,1,1,0,1,0,0,1319,0,1,0,1,0,0,1,0,0,1,1,1
1518,1368,0,1,0,1,0,1,0,1,1,0,0,0,1375,0,1,0,1,0,1,0,1,1,1,1,1
1519,1333,0,1,0,1,0,0,1,1,0,1,0,1,1421,0,1,0,1,1,0,0,0,1,1,0,1
1520,1299,0,1,0,1,0,0,0,1,0,0,1,1,1467,0,1,0,1,1,0,1,1,1,0,1,1
1521,1265,0,1,0,0,1,1,1,1,0,0,0,1,1507,0,1,0,1,1,1,1,0,0,0,1,1
