Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: us, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
46,1136,0,1,0,0,0,1,1,1,0,0,0,0,1051,0,1,0,0,0,0,0,1,1,0,1,1
47,1167,0,1,0,0,1,0,0,0,1,1,1,1,1001,0,0,1,1,1,1,1,0,1,0,0,1
48,1203,0,1,0,0,1,0,1,1,0,0,1,1,961,0,0,1,1,1,1,0,0,0,0,0,1
49,1243,0,1,0,0,1,1,0,1,1,0,1,1,935,0,0,1,1,1,0,1,0,0,1,1,1
50,1280,0,1,0,1,0,0,0,0,0,0,0,0,913,0,0,1,1,1,0,0,1,0,0,0,1
51,1318,0,1,0,1,0,0,1,0,0,1,1,0,903,0,0,1,1,1,0,0,0,0,1,1,1
52,1351,0,1,0,1,0,1,0,0,0,1,1,1,901,0,0,1,1,1,0,0,0,0,1,0,1
53,1380,0,1,0,1,0,1,1,0,0,1,0,0,909,0,0,1,1,1,0,0,0,1,1,0,1
54,1404,0,1,0,1,0,1,1,1,1,1,0,0,925,0,0,1,1,1,0,0,1,1,1,0,1
55,1427,0,1,0,1,1,0,0,1,0,0,1,1,957,0,0,1,1,1,0,1,1,1,1,0,1
56,1441,0,1,0,1,1,0,1,0,0,0,0,1,989,0,0,1,1,1,1,0,1,1,1,0,1
57,1453,0,1,0,1,1,0,1,0,1,1,0,1,1039,0,1,0,0,0,0,0,0,1,1,1,1
58,1458,0,1,0,1,1,0,1,1,0,0,1,0,1091,0,1,0,0,0,1,0,0,0,0,1,1
59,1453,0,1,0,1,1,0,1,0,1,1,0,1,1145,0,1,0,0,0,1,1,1,1,0,0,1
60,1445,0,1,0,1,1,0,1,0,0,1,0,1,1203,0,1,0,0,1,0,1,1,0,0,1,1
61,1433,0,1,0,1,1,0,0,1,1,0,0,1,1269,0,1,0,0,1,1,1,1,0,1,0,1
