Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,
result[31:0] =, result[31], result[30], result[29], result[28], result[27], result[26], result[25], result[24], result[23], result[22], result[21], result[20], result[19], result[18], result[17], result[16], result[15], result[14], result[13], result[12], result[11], result[10], result[9], result[8], result[7], result[6], result[5], result[4], result[3], result[2], result[1], result[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], result[31:0], result[31], result[30], result[29], result[28], result[27], result[26], result[25], result[24], result[23], result[22], result[21], result[20], result[19], result[18], result[17], result[16], result[15], result[14], result[13], result[12], result[11], result[10], result[9], result[8], result[7], result[6], result[5], result[4], result[3], result[2], result[1], result[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1303, 1487, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1501, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1304, 1459, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1535, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1305, 1424, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1559, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1306, 1387, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1577, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1307, 1346, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1585, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1308, 1294, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1573, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1309, 1243, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1557, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1310, 1193, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1531, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1311, 1147, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1497, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1312, 1102, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1457, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1313, 1071, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1419, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1314, 1027, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1355, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1315, 997, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1297, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1316, 973, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1235, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1317, 959, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1175, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1318, 954, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1119, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1319, 957, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1063, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1320, 971, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1017, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1321, 990, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 973, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1322, 1017, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 939, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1323, 1049, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 911, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1324, 1087, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 893, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1325, 1131, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 887, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1326, 1179, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 893, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1327, 1225, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 905, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1328, 1276, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 931, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1329, 1325, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 965, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1330, 1371, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1007, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1331, 1411, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1053, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1332, 1453, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1113, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1333, 1480, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1167, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1334, 1503, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1225, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1335, 1520, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1285, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1336, 1529, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1345, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1337, 1526, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1399, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1338, 1513, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1447, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1339, 1495, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1489, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1340, 1471, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1527, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1341, 1438, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1555, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1342, 1400, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1571, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1343, 1357, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1579, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1344, 1312, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1579, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1345, 1262, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1565, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1346, 1212, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1543, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1347, 1163, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1513, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1348, 1119, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1475, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1349, 1075, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1427, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1350, 1040, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1375, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1351, 1008, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1319, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1352, 984, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1261, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1353, 965, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1199, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1354, 958, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1141, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1355, 957, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1083, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1356, 965, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1033, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1357, 990, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 995, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1358, 1010, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 953, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1359, 1039, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 921, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1360, 1075, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 899, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1361, 1117, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 889, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1362, 1163, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 891, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1363, 1212, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 903, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1364, 1261, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 925, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1365, 1310, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 953, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1366, 1355, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 991, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1367, 1397, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1037, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1368, 1438, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1091, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1369, 1467, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1143, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1370, 1493, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1203, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1371, 1513, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1263, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1372, 1523, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1323, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
